prop_id,Species,treatment,treatment_name,agr,rgr
LA-18,LARA,A,Soil,0.0103125,0.09
LA-25,LARA,A,Soil,0.002770491803,0.1
LA-34,LARA,A,Soil,0.01410526316,0.12
LA-35,LARA,A,Soil,0.003869791667,0.11
LA-40,LARA,A,Soil,0.01693956044,0.13
LA-43,LARA,A,Soil,0.007889473684,0.09
LA-46,LARA,A,Soil,0.01346236559,0.11
LA-49,LARA,A,Soil,0.006885245902,0.11
LA-50,LARA,A,Soil,-0.001362637363,0.08
LA-53,LARA,A,Soil,0.001946808511,0.08
RA-10,RHMA,A,Soil,0.1486,0.04
RA-12,RHMA,A,Soil,0.08641935484,0.05
RA-17,RHMA,A,Soil,0.124,0.03
RA-20,RHMA,A,Soil,0.12565,0.04
RA-22,RHMA,A,Soil,0.1138595506,0.04
RA-25,RHMA,A,Soil,0.08949456522,0.03
RA-28,RHMA,A,Soil,0.09370526316,0.04
RA-40,RHMA,A,Soil,0.0802393617,0.04
RA-54,RHMA,A,Soil,0.1246077348,0.04
RA-55,RHMA,A,Soil,0.1014098361,0.04
LB-17,LARA,B,Crushed glass,-0.001602150538,0.04
LB-29,LARA,B,Crushed glass,-0.004297752809,0.04
LB-45,LARA,B,Crushed glass,-0.0050625,0.01
LB-47,LARA,B,Crushed glass,-0.003252631579,-0.01
LB-49,LARA,B,Crushed glass,-0.006626315789,-0.02
LB-51,LARA,B,Crushed glass,-0.00539010989,-0.01
LB-54,LARA,B,Crushed glass,-0.002131147541,0.01
LB-55,LARA,B,Crushed glass,-0.006180327869,0.01
LB-57,LARA,B,Crushed glass,-0.004842105263,-0.02
LB-58,LARA,B,Crushed glass,-0.006865591398,0
RB-10,RHMA,B,Crushed glass,0.1017071823,0.02
RB-13,RHMA,B,Crushed glass,0.0874375,0.03
RB-16,RHMA,B,Crushed glass,0.07353333333,0.03
RB-20,RHMA,B,Crushed glass,0.0986,0.03
RB-23,RHMA,B,Crushed glass,0.0504972067,0.03
RB-26,RHMA,B,Crushed glass,0.0285,0.02
RB-3,RHMA,B,Crushed glass,0.09468617021,0.03
RB-50,RHMA,B,Crushed glass,0.1180718232,0.03
RB-51,RHMA,B,Crushed glass,0.07544680851,0.03
RB-60,RHMA,B,Crushed glass,0.1044486486,0.04
RC-10,RHMA,C,100% Sargassum (SG),0.10575,0.02
RC-11,RHMA,C,100% Sargassum (SG),0.05739361702,0.02
RC-16,RHMA,C,100% Sargassum (SG),0.0561878453,0.02
RC-18,RHMA,C,100% Sargassum (SG),0.06069832402,0.03
RC-21,RHMA,C,100% Sargassum (SG),0.05523404255,0.01
RC-32,RHMA,C,100% Sargassum (SG),0.06666850829,0.02
RC-35,RHMA,C,100% Sargassum (SG),0.05154891304,0.03
RC-44,RHMA,C,100% Sargassum (SG),0.09749468085,0.03
RC-5,RHMA,C,100% Sargassum (SG),0.1168097826,0.03
RC-50,RHMA,C,100% Sargassum (SG),0.09834269663,0.02
LD-11,LARA,D,25% SG,-0.001988764045,0.02
LD-12,LARA,D,25% SG,-0.002342391304,0.02
LD-2,LARA,D,25% SG,0.001414364641,0.03
LD-24,LARA,D,25% SG,0.005033149171,0.09
LD-3,LARA,D,25% SG,4.255319149e-4,0.06
LD-36,LARA,D,25% SG,-4.787234043e-4,0.06
LD-4,LARA,D,25% SG,0.005478723404,0.08
LD-40,LARA,D,25% SG,-0.003076086957,0.02
LD-54,LARA,D,25% SG,-0.007865168539,0.01
LD-59,LARA,D,25% SG,0.001781914894,0.05
RD-1,RHMA,D,25% SG,0.07640425532,0.03
RD-21,RHMA,D,25% SG,0.05165168539,0.04
RD-23,RHMA,D,25% SG,0.04727173913,0.02
RD-26,RHMA,D,25% SG,0.0665,0.03
RD-29,RHMA,D,25% SG,0.05547191011,0.03
RD-31,RHMA,D,25% SG,0.04395212766,0.03
RD-32,RHMA,D,25% SG,0.0633038674,0.03
RD-51,RHMA,D,25% SG,0.09808152174,0.04
RD-59,RHMA,D,25% SG,0.08626595745,0.03
RD-60,RHMA,D,25% SG,0.1236906077,0.02
LE-12,LARA,E,75% SG,0.004602272727,0.13
LE-13,LARA,E,75% SG,0.008887640449,0.13
LE-15,LARA,E,75% SG,-0.001893854749,0.06
LE-27,LARA,E,75% SG,-0.005769662921,0.06
LE-34,LARA,E,75% SG,-1.931818182e-4,0.07
LE-47,LARA,E,75% SG,4.836956522e-4,0.06
RE-17,RHMA,E,75% SG,0.05561170213,0.02
RE-2,RHMA,E,75% SG,0.05935869565,0.03
RE-23,RHMA,E,75% SG,0.06573595506,0.03
RE-24,RHMA,E,75% SG,0.04626519337,0.03
RE-25,RHMA,E,75% SG,0.07853191489,0.03
RE-26,RHMA,E,75% SG,0.07254891304,0.02
RE-31,RHMA,E,75% SG,0.03498342541,0.02
RE-32,RHMA,E,75% SG,0.05955491329,0.02
RE-38,RHMA,E,75% SG,0.03936170213,-0.01
RE-50,RHMA,E,75% SG,0.04745744681,0.02
