Comparison,Z,P.unadj,P.adj
100% SG - 25% SG,0.5900716526079006,0.5551426127224646,1
100% SG - 75% SG,0.09824603701342426,0.9217369270083562,1
25% SG - 75% SG,-0.49182561559447635,0.62284262643105,1
100% SG - Crushed glass,0.4852758797935814,0.6274806628128383,1
25% SG - Crushed glass,-0.10479577281431922,0.9165378643863225,1
75% SG - Crushed glass,0.3870298427801571,0.6987341149417157,1
100% SG - Soil,0.3953658701631142,0.6925728932557743,1
25% SG - Soil,-0.1947057824447864,0.8456232848154266,1
75% SG - Soil,0.2971198331496899,0.7663750230674728,1
Crushed glass - Soil,-0.08991000963046719,0.9283587268358918,1
