site,treatment,n,mean_sd,mean,sd,se
CP,A,20,30.93 ± 3.74,30.925,3.7443114748979727,0.8372534986804364
CP,B,20,31.83 ± 4.80,31.83,4.797598083251769,1.072775544287365
CP,C,20,32.97 ± 3.75,32.965,3.7454920272663497,0.8375174782151054
CP,D,20,28.80 ± 2.66,28.8,2.659441967584058,0.5946693021733745
CP,E,20,27.34 ± 6.43,27.345,6.434076631907888,1.4387032721388928
OC,A,20,37.56 ± 4.66,37.56,4.664919472425062,1.0431077049904893
OC,B,20,36.45 ± 3.65,36.45,3.6482872693909405,0.815781833580523
OC,C,20,37.26 ± 3.98,37.255,3.97948356871645,0.8898395774993437
OC,D,20,33.52 ± 4.24,33.52,4.24209481518891,0.9485612373761809
OC,E,20,33.54 ± 3.50,33.54,3.500436063061136,0.782721298789644
PR,A,20,33.15 ± 3.12,33.145,3.11709632088651,0.6970039265916733
PR,B,20,33.86 ± 3.30,33.86,3.3015785698104443,0.7382554115152689
PR,C,20,36.03 ± 4.70,36.03,4.6997312353166025,1.0508918518146984
PR,D,20,34.35 ± 7.40,34.35,7.395268757793728,1.6536323654307203
PR,E,20,27.14 ± 3.14,27.14,3.1439833935546426,0.7030160588118655
