Substrate,Species,n,Mean,SD,Min,Max,Hypoxic,.group,letter_y
SOIL,LARA,4,3.4,0.6831300510639731,2.7,4.3,0,ab,4.333130051063973
SOIL,RHMA,4,3.225,0.5852349955359811,2.5,3.9,0,a,4.060234995535981
GLASS,LARA,4,4.075,0.49244289008980513,3.7,4.8,0,b,4.817442890089805
GLASS,RHMA,4,3.7,0.5773502691896258,3,4.4,0,a,4.527350269189626
25% SG,LARA,4,2.95,0.714142842854285,2,3.5,0,ab,3.914142842854285
25% SG,RHMA,4,2.85,0.6403124237432848,2.4,3.8,0,a,3.7403124237432848
75% SG,LARA,4,1.9249999999999998,1.438459824488215,0.3,3.8,3,a,3.613459824488215
75% SG,RHMA,4,2.9,0.4966554808583781,2.3,3.4,0,a,3.646655480858378
100% SG,LARA,4,2.7,0.7788880963698616,1.8,3.7,1,ab,3.728888096369862
100% SG,RHMA,4,3.05,0.2516611478423583,2.8,3.4,0,a,3.551661147842358
